,PLAYER,2012/13(*),
437,Pablo Prigioni,"$473,604 ","$532,049 "
437,Chris Copeland,"$473,604 ","$532,049 "
437,Darius Miller,"$473,604 ","$532,049 "
437,Brian Roberts,"$473,604 ","$532,049 "
437,Robert Sacre,"$473,604 ","$532,049 "
437,Ben Hansbrough,"$473,604 ","$532,049 "
437,Kent Bazemore,"$473,604 ","$532,049 "
437,Khris Middleton,"$473,604 ","$532,049 "
437,Kim English,"$473,604 ","$532,049 "
437,Quincy Miller,"$473,604 ","$532,049 "
437,Bernard James,"$473,604 ","$532,049 "
437,Tornike Shengelia,"$473,604 ","$532,049 "
437,Tyshawn Taylor,"$473,604 ","$532,049 "
437,Mike Scott,"$473,604 ","$532,049 "
455,Mickael Gelabale,"$452,323 ","$508,142 "
456,Kenyon Martin,"$429,516 ","$482,520 "
457,Jordan Williams,"$420,000 ","$471,830 "
458,Kevin Jones,"$390,000 ","$438,128 "
459,Juwan Howard,"$373,838 ","$419,971 "
460,Josh Harrellson,"$358,680 ","$402,943 "
461,Samardo Samuels,"$346,781 ","$389,575 "
462,Earl Barron,"$339,726 ","$381,650 "
463,Maalik Wayns,"$334,308 ","$375,562 "
464,Jarvis Varnado,"$314,806 ","$353,654 "
465,Terrel Harris,"$304,878 ","$342,501 "
466,Donald Sloan,"$300,395 ","$337,464 "
467,Micheal Eric,"$300,000 ","$337,021 "
468,Patrick Beverley,"$298,092 ","$334,878 "
469,Terrence Williams,"$296,775 ","$333,398 "
470,Travis Leslie,"$294,835 ","$331,218 "
471,Shavlik Randolph,"$280,286 ","$314,875 "
472,DJ White,"$263,980 ","$296,556 "
473,Aron Baynes,"$239,588 ","$269,154 "
474,Dionte Christmas,"$236,800 ","$266,022 "
475,Troy Murphy,"$226,619 ","$254,585 "
476,Scott Machado,"$225,657 ","$253,503 "
476,Kris Joseph,"$225,657 ","$253,502 "
478,Darius Johnson-Odom,"$195,013 ","$219,078 "
479,Malcolm Thomas,"$179,340 ","$201,470 "
480,DaJuan Summers,"$177,024 ","$198,869 "
481,Chris Quinn,"$169,339 ","$190,236 "
482,Tim Ohlbrecht,"$142,081 ","$159,614 "
483,Tracy McGrady,"$79,540 ","$89,355 "
484,Justin Holiday,"$76,220 ","$85,626 "
485,Chris Douglas-Roberts,"$72,892 ","$81,887 "
